Date,Time,Value date,Product,ISIN,Description,FX,Change,,Balance,,Order Id
13-04-2026,16:46,13-04-2026,,,flatex Deposit,,EUR,"1000,00",EUR,"1115,16",
06-04-2026,12:13,31-03-2026,,,Flatex Interest Income,,EUR,"0,00",EUR,"115,16",
19-03-2026,07:39,19-03-2026,,,Degiro Cash Sweep Transfer,,EUR,"-4,91",EUR,"115,16",
19-03-2026,07:39,19-03-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 4,91 EUR",,,,EUR,"120,07",
19-03-2026,06:40,18-03-2026,,,Ingreso Cambio de Divisa,,EUR,"4,91",EUR,"115,16",
19-03-2026,06:40,18-03-2026,,,Retirada Cambio de Divisa,"1,1481",USD,"-5,64",USD,"0,00",
18-03-2026,07:03,17-03-2026,UNITEDHEALTH GROUP INC,US91324P1021,Dividendo,,USD,"6,63",USD,"5,64",
18-03-2026,07:02,17-03-2026,UNITEDHEALTH GROUP INC,US91324P1021,Retención del dividendo,,USD,"-0,99",USD,"-0,99",
24-02-2026,08:31,24-02-2026,,,Degiro Cash Sweep Transfer,,EUR,"0,15",EUR,"110,25",
24-02-2026,08:31,24-02-2026,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 0,15 EUR",,,,EUR,"110,10",
24-02-2026,06:55,23-02-2026,,,Retirada Cambio de Divisa,,EUR,"-0,15",EUR,"110,25",
24-02-2026,06:55,23-02-2026,,,Ingreso Cambio de Divisa,"1,1756",USD,"0,18",USD,"0,00",
23-02-2026,20:54,23-02-2026,,,Degiro Cash Sweep Transfer,,EUR,"7,50",EUR,"110,40",
23-02-2026,20:54,23-02-2026,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 7,5 EUR",,,,EUR,"102,90",
23-02-2026,10:43,31-01-2026,,,Comisión de conectividad con el mercado 2026 (New York Stock Exchange - NSY),,EUR,"-2,50",EUR,"110,40",
23-02-2026,10:43,31-01-2026,,,Comisión de conectividad con el mercado 2026 (Nasdaq - NDQ),,EUR,"-2,50",EUR,"112,90",
23-02-2026,10:43,31-01-2026,,,Comisión de conectividad con el mercado 2026 (Xetra - XET),,EUR,"-2,50",EUR,"115,40",
23-02-2026,09:03,20-02-2026,ADR ON JD.COM INC CLASS A,US47215P1066,ADR/GDR Pass-Through Fee,,USD,"-0,18",USD,"-0,18",
07-01-2026,10:51,07-01-2026,,,Degiro Cash Sweep Transfer,,EUR,"1924,05",EUR,"117,90",
07-01-2026,10:51,07-01-2026,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 1.924,05 EUR",,,,EUR,"-1806,15",
07-01-2026,09:31,07-01-2026,ISHARES MSCI EM ASIA UCITS ETF USD (ACC),IE00B5L8K969,Costes de transacción y/o externos de DEGIRO,,EUR,"-3,00",EUR,"117,90",b93f205d-c38b-4a67-adb7-c9aa08626746
07-01-2026,09:31,07-01-2026,ISHARES MSCI EM ASIA UCITS ETF USD (ACC),IE00B5L8K969,"Compra 9 iShares MSCI EM Asia UCITS ETF USD (Acc)@213,45 EUR (IE00B5L8K969)",,EUR,"-1921,05",EUR,"120,90",b93f205d-c38b-4a67-adb7-c9aa08626746
04-01-2026,13:20,02-01-2026,,,Flatex Interest Income,,EUR,"0,00",EUR,"2041,95",
18-12-2025,07:41,18-12-2025,,,Degiro Cash Sweep Transfer,,EUR,"-4,79",EUR,"2041,95",
18-12-2025,07:41,18-12-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 4,79 EUR",,,,EUR,"2046,74",
18-12-2025,06:35,17-12-2025,,,Ingreso Cambio de Divisa,,EUR,"4,79",EUR,"2041,95",
18-12-2025,06:35,17-12-2025,,,Retirada Cambio de Divisa,"1,1771",USD,"-5,64",USD,"0,00",
17-12-2025,07:10,16-12-2025,UNITEDHEALTH GROUP INC,US91324P1021,Dividendo,,USD,"6,63",USD,"5,64",
17-12-2025,07:10,16-12-2025,UNITEDHEALTH GROUP INC,US91324P1021,Retención del dividendo,,USD,"-0,99",USD,"-0,99",
